"","Year","Geo Level","State","State ANSI","organic_detail","Category","measurement","Value","CV (%)"
"581",2019,"STATE","NEW MEXICO","35",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","47.2"
"582",2019,"STATE","NEW MEXICO","35",NA,"OPERATIONS WITH SALES",NA,"1","47.2"
"583",2019,"STATE","NEW MEXICO","35",NA,"PRODUCTION"," CWT","(D)","(D)"
"584",2019,"STATE","NEW MEXICO","35",NA,"SALES"," $","(D)","(D)"
"585",2019,"STATE","NEW MEXICO","35",NA,"SALES"," CWT","(D)","(D)"
"586",2019,"STATE","NEW MEXICO","35","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","47.2"
"587",2019,"STATE","NEW MEXICO","35","FRESH MARKET","SALES"," $","(D)","(D)"
"588",2019,"STATE","NEW MEXICO","35","FRESH MARKET","SALES"," CWT","(D)","(D)"
"589",2019,"STATE","NEW YORK","36",NA,"ACRES HARVESTED",NA,"41","40.9"
"590",2019,"STATE","NEW YORK","36",NA,"OPERATIONS WITH AREA HARVESTED",NA,"36","27.3"
"591",2019,"STATE","NEW YORK","36",NA,"OPERATIONS WITH SALES",NA,"36","27.3"
"592",2019,"STATE","NEW YORK","36",NA,"PRODUCTION"," CWT","2,260","32.6"
"593",2019,"STATE","NEW YORK","36",NA,"SALES"," $","644,155","42.2"
"594",2019,"STATE","NEW YORK","36",NA,"SALES"," CWT","2,260","32.6"
"595",2019,"STATE","NEW YORK","36","FRESH MARKET","OPERATIONS WITH SALES",NA,"34","28.7"
"596",2019,"STATE","NEW YORK","36","FRESH MARKET","SALES"," $","(D)","(D)"
"597",2019,"STATE","NEW YORK","36","FRESH MARKET","SALES"," CWT","(D)","(D)"
"598",2019,"STATE","NEW YORK","36","PROCESSING","OPERATIONS WITH SALES",NA,"2","95.0"
"599",2019,"STATE","NEW YORK","36","PROCESSING","SALES"," $","(D)","(D)"
"600",2019,"STATE","NEW YORK","36","PROCESSING","SALES"," CWT","(D)","(D)"
"601",2019,"STATE","NORTH CAROLINA","37",NA,"ACRES HARVESTED",NA,"4","94.6"
"602",2019,"STATE","NORTH CAROLINA","37",NA,"OPERATIONS WITH AREA HARVESTED",NA,"7","43.9"
"603",2019,"STATE","NORTH CAROLINA","37",NA,"OPERATIONS WITH SALES",NA,"7","43.9"
"604",2019,"STATE","NORTH CAROLINA","37",NA,"PRODUCTION"," CWT","300","94.1"
"605",2019,"STATE","NORTH CAROLINA","37",NA,"SALES"," $","87,402","75.2"
"606",2019,"STATE","NORTH CAROLINA","37",NA,"SALES"," CWT","300","94.1"
"607",2019,"STATE","NORTH CAROLINA","37","FRESH MARKET","OPERATIONS WITH SALES",NA,"7","43.9"
"608",2019,"STATE","NORTH CAROLINA","37","FRESH MARKET","SALES"," $","87,402","75.2"
"609",2019,"STATE","NORTH CAROLINA","37","FRESH MARKET","SALES"," CWT","300","94.1"
"610",2019,"STATE","OHIO","39",NA,"ACRES HARVESTED",NA,"9","66.3"
"611",2019,"STATE","OHIO","39",NA,"OPERATIONS WITH AREA HARVESTED",NA,"17","50.7"
"612",2019,"STATE","OHIO","39",NA,"OPERATIONS WITH SALES",NA,"17","50.7"
"613",2019,"STATE","OHIO","39",NA,"PRODUCTION"," CWT","315","56.9"
"614",2019,"STATE","OHIO","39",NA,"SALES"," $","68,830","85.0"
"615",2019,"STATE","OHIO","39",NA,"SALES"," CWT","315","56.9"
"616",2019,"STATE","OHIO","39","FRESH MARKET","OPERATIONS WITH SALES",NA,"17","50.7"
"617",2019,"STATE","OHIO","39","FRESH MARKET","SALES"," $","68,830","85.0"
"618",2019,"STATE","OHIO","39","FRESH MARKET","SALES"," CWT","315","56.9"
"619",2019,"STATE","OKLAHOMA","40",NA,"ACRES HARVESTED",NA,"10","(H)"
"620",2019,"STATE","OKLAHOMA","40",NA,"OPERATIONS WITH AREA HARVESTED",NA,"4","95.2"
"621",2019,"STATE","OKLAHOMA","40",NA,"OPERATIONS WITH SALES",NA,"4","95.2"
"622",2019,"STATE","OKLAHOMA","40",NA,"PRODUCTION"," CWT","880","(H)"
"623",2019,"STATE","OKLAHOMA","40",NA,"SALES"," $","161,288","(H)"
"624",2019,"STATE","OKLAHOMA","40",NA,"SALES"," CWT","880","(H)"
"625",2019,"STATE","OKLAHOMA","40","FRESH MARKET","OPERATIONS WITH SALES",NA,"4","95.2"
"626",2019,"STATE","OKLAHOMA","40","FRESH MARKET","SALES"," $","161,288","(H)"
"627",2019,"STATE","OKLAHOMA","40","FRESH MARKET","SALES"," CWT","880","(H)"
"628",2019,"STATE","OREGON","41",NA,"ACRES HARVESTED",NA,"197","(H)"
"629",2019,"STATE","OREGON","41",NA,"OPERATIONS WITH AREA HARVESTED",NA,"21","42.5"
"630",2019,"STATE","OREGON","41",NA,"OPERATIONS WITH SALES",NA,"21","42.5"
"631",2019,"STATE","OREGON","41",NA,"PRODUCTION"," CWT","5,081","(H)"
"632",2019,"STATE","OREGON","41",NA,"SALES"," $","1,728,809","(H)"
"633",2019,"STATE","OREGON","41",NA,"SALES"," CWT","5,081","(H)"
"634",2019,"STATE","OREGON","41","FRESH MARKET","OPERATIONS WITH SALES",NA,"19","39.8"
"635",2019,"STATE","OREGON","41","FRESH MARKET","SALES"," $","505,658","59.6"
"636",2019,"STATE","OREGON","41","FRESH MARKET","SALES"," CWT","1,004","38.9"
"637",2019,"STATE","OREGON","41","PROCESSING","OPERATIONS WITH SALES",NA,"3","(H)"
"638",2019,"STATE","OREGON","41","PROCESSING","SALES"," $","1,223,151","(H)"
"639",2019,"STATE","OREGON","41","PROCESSING","SALES"," CWT","4,077","(H)"
"640",2019,"STATE","PENNSYLVANIA","42",NA,"ACRES HARVESTED",NA,"6","43.1"
"641",2019,"STATE","PENNSYLVANIA","42",NA,"OPERATIONS WITH AREA HARVESTED",NA,"16","49.0"
"642",2019,"STATE","PENNSYLVANIA","42",NA,"OPERATIONS WITH SALES",NA,"16","49.0"
"643",2019,"STATE","PENNSYLVANIA","42",NA,"PRODUCTION"," CWT","341","38.4"
"644",2019,"STATE","PENNSYLVANIA","42",NA,"SALES"," $","89,572","35.1"
"645",2019,"STATE","PENNSYLVANIA","42",NA,"SALES"," CWT","341","38.4"
"646",2019,"STATE","PENNSYLVANIA","42","FRESH MARKET","OPERATIONS WITH SALES",NA,"16","49.0"
"647",2019,"STATE","PENNSYLVANIA","42","FRESH MARKET","SALES"," $","89,572","35.1"
"648",2019,"STATE","PENNSYLVANIA","42","FRESH MARKET","SALES"," CWT","341","38.4"
"649",2019,"STATE","RHODE ISLAND","44",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"650",2019,"STATE","RHODE ISLAND","44",NA,"OPERATIONS WITH AREA HARVESTED",NA,"2","15.7"
"651",2019,"STATE","RHODE ISLAND","44",NA,"OPERATIONS WITH SALES",NA,"2","15.7"
"652",2019,"STATE","RHODE ISLAND","44",NA,"PRODUCTION"," CWT","(D)","(D)"
"653",2019,"STATE","RHODE ISLAND","44",NA,"SALES"," $","(D)","(D)"
"654",2019,"STATE","RHODE ISLAND","44",NA,"SALES"," CWT","(D)","(D)"
"655",2019,"STATE","RHODE ISLAND","44","FRESH MARKET","OPERATIONS WITH SALES",NA,"2","15.7"
"656",2019,"STATE","RHODE ISLAND","44","FRESH MARKET","SALES"," $","(D)","(D)"
"657",2019,"STATE","RHODE ISLAND","44","FRESH MARKET","SALES"," CWT","(D)","(D)"
"658",2019,"STATE","SOUTH CAROLINA","45",NA,"ACRES HARVESTED",NA,"13","79.0"
"659",2019,"STATE","SOUTH CAROLINA","45",NA,"OPERATIONS WITH AREA HARVESTED",NA,"8","30.4"
"660",2019,"STATE","SOUTH CAROLINA","45",NA,"OPERATIONS WITH SALES",NA,"8","30.4"
"661",2019,"STATE","SOUTH CAROLINA","45",NA,"PRODUCTION"," CWT","332","76.3"
"662",2019,"STATE","SOUTH CAROLINA","45",NA,"SALES"," $","85,229","83.4"
"663",2019,"STATE","SOUTH CAROLINA","45",NA,"SALES"," CWT","332","76.3"
"664",2019,"STATE","SOUTH CAROLINA","45","FRESH MARKET","OPERATIONS WITH SALES",NA,"8","30.4"
"665",2019,"STATE","SOUTH CAROLINA","45","FRESH MARKET","SALES"," $","85,229","83.4"
"666",2019,"STATE","SOUTH CAROLINA","45","FRESH MARKET","SALES"," CWT","332","76.3"
"667",2019,"STATE","SOUTH DAKOTA","46",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"668",2019,"STATE","SOUTH DAKOTA","46",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","69.8"
"669",2019,"STATE","SOUTH DAKOTA","46",NA,"OPERATIONS WITH SALES",NA,"1","69.8"
"670",2019,"STATE","SOUTH DAKOTA","46",NA,"PRODUCTION"," CWT","(D)","(D)"
"671",2019,"STATE","SOUTH DAKOTA","46",NA,"SALES"," $","(D)","(D)"
"672",2019,"STATE","SOUTH DAKOTA","46",NA,"SALES"," CWT","(D)","(D)"
"673",2019,"STATE","SOUTH DAKOTA","46","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","69.8"
"674",2019,"STATE","SOUTH DAKOTA","46","FRESH MARKET","SALES"," $","(D)","(D)"
"675",2019,"STATE","SOUTH DAKOTA","46","FRESH MARKET","SALES"," CWT","(D)","(D)"
"676",2019,"STATE","TENNESSEE","47",NA,"ACRES HARVESTED",NA,"5","94.6"
"677",2019,"STATE","TENNESSEE","47",NA,"OPERATIONS WITH AREA HARVESTED",NA,"7","43.9"
"678",2019,"STATE","TENNESSEE","47",NA,"OPERATIONS WITH SALES",NA,"7","43.9"
"679",2019,"STATE","TENNESSEE","47",NA,"PRODUCTION"," CWT","219","94.1"
"680",2019,"STATE","TENNESSEE","47",NA,"SALES"," $","35,934","75.2"
"681",2019,"STATE","TENNESSEE","47",NA,"SALES"," CWT","219","94.1"
"682",2019,"STATE","TENNESSEE","47","FRESH MARKET","OPERATIONS WITH SALES",NA,"7","43.9"
"683",2019,"STATE","TENNESSEE","47","FRESH MARKET","SALES"," $","35,934","75.2"
"684",2019,"STATE","TENNESSEE","47","FRESH MARKET","SALES"," CWT","219","94.1"
"685",2019,"STATE","VERMONT","50",NA,"ACRES HARVESTED",NA,"21","32.0"
"686",2019,"STATE","VERMONT","50",NA,"OPERATIONS WITH AREA HARVESTED",NA,"26","23.2"
"687",2019,"STATE","VERMONT","50",NA,"OPERATIONS WITH SALES",NA,"26","23.2"
"688",2019,"STATE","VERMONT","50",NA,"PRODUCTION"," CWT","1,051","39.3"
"689",2019,"STATE","VERMONT","50",NA,"SALES"," $","486,870","34.0"
"690",2019,"STATE","VERMONT","50",NA,"SALES"," CWT","1,051","39.3"
"691",2019,"STATE","VERMONT","50","FRESH MARKET","OPERATIONS WITH SALES",NA,"26","23.2"
"692",2019,"STATE","VERMONT","50","FRESH MARKET","SALES"," $","486,870","34.0"
"693",2019,"STATE","VERMONT","50","FRESH MARKET","SALES"," CWT","1,051","39.3"
"694",2019,"STATE","VIRGINIA","51",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"695",2019,"STATE","VIRGINIA","51",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","43.9"
"696",2019,"STATE","VIRGINIA","51",NA,"OPERATIONS WITH SALES",NA,"1","43.9"
"697",2019,"STATE","VIRGINIA","51",NA,"PRODUCTION"," CWT","(D)","(D)"
"698",2019,"STATE","VIRGINIA","51",NA,"SALES"," $","(D)","(D)"
"699",2019,"STATE","VIRGINIA","51",NA,"SALES"," CWT","(D)","(D)"
"700",2019,"STATE","VIRGINIA","51","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","43.9"
"701",2019,"STATE","VIRGINIA","51","FRESH MARKET","SALES"," $","(D)","(D)"
"702",2019,"STATE","VIRGINIA","51","FRESH MARKET","SALES"," CWT","(D)","(D)"
"703",2019,"STATE","WASHINGTON","53",NA,"ACRES HARVESTED",NA,"55","58.3"
"704",2019,"STATE","WASHINGTON","53",NA,"OPERATIONS WITH AREA HARVESTED",NA,"57","40.1"
"705",2019,"STATE","WASHINGTON","53",NA,"OPERATIONS WITH SALES",NA,"57","40.1"
"706",2019,"STATE","WASHINGTON","53",NA,"PRODUCTION"," CWT","2,428","78.4"
"707",2019,"STATE","WASHINGTON","53",NA,"SALES"," $","745,009","67.2"
"708",2019,"STATE","WASHINGTON","53",NA,"SALES"," CWT","2,428","78.4"
"709",2019,"STATE","WASHINGTON","53","FRESH MARKET","OPERATIONS WITH SALES",NA,"53","40.5"
"710",2019,"STATE","WASHINGTON","53","FRESH MARKET","SALES"," $","(D)","(D)"
"711",2019,"STATE","WASHINGTON","53","FRESH MARKET","SALES"," CWT","2,404","79.4"
"712",2019,"STATE","WASHINGTON","53","PROCESSING","OPERATIONS WITH SALES",NA,"6","89.2"
"713",2019,"STATE","WASHINGTON","53","PROCESSING","SALES"," $","(D)","(D)"
"714",2019,"STATE","WASHINGTON","53","PROCESSING","SALES"," CWT","23","80.9"
"715",2019,"STATE","WEST VIRGINIA","54",NA,"ACRES HARVESTED",NA,"(D)","(D)"
"716",2019,"STATE","WEST VIRGINIA","54",NA,"OPERATIONS WITH AREA HARVESTED",NA,"1","43.9"
"717",2019,"STATE","WEST VIRGINIA","54",NA,"OPERATIONS WITH SALES",NA,"1","43.9"
"718",2019,"STATE","WEST VIRGINIA","54",NA,"PRODUCTION"," CWT","(D)","(D)"
"719",2019,"STATE","WEST VIRGINIA","54",NA,"SALES"," $","(D)","(D)"
"720",2019,"STATE","WEST VIRGINIA","54",NA,"SALES"," CWT","(D)","(D)"
"721",2019,"STATE","WEST VIRGINIA","54","FRESH MARKET","OPERATIONS WITH SALES",NA,"1","43.9"
"722",2019,"STATE","WEST VIRGINIA","54","FRESH MARKET","SALES"," $","(D)","(D)"
"723",2019,"STATE","WEST VIRGINIA","54","FRESH MARKET","SALES"," CWT","(D)","(D)"
"724",2019,"STATE","WISCONSIN","55",NA,"ACRES HARVESTED",NA,"5","56.3"
"725",2019,"STATE","WISCONSIN","55",NA,"OPERATIONS WITH AREA HARVESTED",NA,"22","23.8"
"726",2019,"STATE","WISCONSIN","55",NA,"OPERATIONS WITH SALES",NA,"22","23.8"
"727",2019,"STATE","WISCONSIN","55",NA,"PRODUCTION"," CWT","135","55.9"
"728",2019,"STATE","WISCONSIN","55",NA,"SALES"," $","50,111","42.1"
"729",2019,"STATE","WISCONSIN","55",NA,"SALES"," CWT","135","55.9"
"730",2019,"STATE","WISCONSIN","55","FRESH MARKET","OPERATIONS WITH SALES",NA,"22","23.8"
"731",2019,"STATE","WISCONSIN","55","FRESH MARKET","SALES"," $","50,111","42.1"
"732",2019,"STATE","WISCONSIN","55","FRESH MARKET","SALES"," CWT","135","55.9"
